Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Paul Scully MP,3901,2018-05-19 08:56:25 EDT,Native Video,19,1,3,2,0,0,0,0,0,original,264,351,0,https://www.facebook.com/scullyforsutton/posts/1675382599163946,"My weeks are always busy and varied so I thought I'd just try to capture some of the things that I've been working on this week. Grenfell, Burma, Bangladesh, Sri Lanka, counterfeit cigarettes, St Helier, local businesses and of course Brexit among the topics.",https://www.facebook.com/scullyforsutton/videos/1675382599163946/,,scully weekly update 19.05.18,,,,-1.52
Jess Phillips,3540,2018-05-18 10:18:13 EDT,Link,36,1,4,4,0,0,0,0,0,,0,0,0,https://www.facebook.com/jessphillipsyardley/posts/914224492091040,www.jessphillips.net/news/hillsborough-law-for-grenfell Jess has signed a letter from Alison McGovern to the Prime Minister supporting the 'Hillsborough Law' which would aid the enquiry into Grenfell and help provide justice for the victims and families of public disasters. Full information about the bill can be found at: https://www.thehillsboroughlaw.com,http://www.jessphillips.net/news/hillsborough-law-for-grenfell,,Jess Phillips MP for Birmingham Yardley,"Yardley MP Jess Phillips supports 'Hillsborough Law' to assist the Grenfell publc enquiry. Jess recently signed a letter sent by Alison McGovern MP to the Prime Minister, expressing cross-party support for the ‘Hillsborough Law’, the Public Authority (Accountability) Bill, to assist the Grenfell...",,,-1.4222222222222223
Diane Abbott MP,46432,2018-05-18 08:25:00 EDT,Link,69,6,18,3,0,0,1,0,0,,0,0,0,https://www.facebook.com/Dianeabbott/posts/1100608550081602,"ICYMI, here is Diane Abbott MP's recent piece on the #Grenfell Inquiry and why Theresa may must listen to the survivors & the bereaved.",http://dianeabbott.org.uk/news/articles/news.aspx?p=1021504,,"Listen to the Grenfell survivors and bereaved, Theresa May","Listen to the Grenfell survivors and bereaved, Theresa May",,,-1.2783505154639174
Norman Lamb,5994,2018-05-17 12:16:45 EDT,Native Video,118,19,28,11,1,0,4,0,0,original,1277,1894,0,https://www.facebook.com/NormanLambLibDem/posts/1054664241354037,The Grenfell tragedy is a damning example of profit taking priority over human safety. The Government needs to ensure there are effective sanctions against those who cut corners in the pursuit of profit so that they are held to account and to act as effective deterrents. And how can we justify not giving tower block residents the same protection that hotel guests enjoy as a result of regulations requiring sprinkler systems to be installed?,https://www.facebook.com/NormanLambLibDem/videos/1054664241354037/,,Grenfell Tragedy speech - Norman Lamb 17 May 2018,,,,1.2312925170068028
"Kate Hollern, MP for Blackburn",1661,2018-05-17 08:16:10 EDT,Link,3,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/katehollernforblackburn/posts/1404260029678196,"Whilst Dame Hackitt's recommendation of stricter regulation is welcome, it has failed to recommend a ban on flammable cladding. The upcoming inquiry must recommend a ban on combustible building materials and be followed by new strict legislation. https://www.telegraph.co.uk/news/2018/05/17/grenfell-review-does-not-propose-ban-flammable-cladding-dame/",https://www.telegraph.co.uk/news/2018/05/17/grenfell-review-does-not-propose-ban-flammable-cladding-dame/,,"Grenfell review does not propose ban on flammable cladding, Dame Judith Hackitt confirms","A review into the Grenfell Tower fire has stopped short of recommending a ban on flammable cladding because it will ""not address the root causes"" of the problems in building regulations.",,,-8.0
Hannah Bardell MP for Livingston,2965,2018-05-17 07:39:00 EDT,Native Video,16,1,4,0,0,0,0,0,0,original,374,468,0,https://www.facebook.com/HannahBardellSNP/posts/1496562950470300,"In yesterday’s debate on Grenfell I highlighted the astonishing statistic uncovered by ‘who owns England’ that almost 2000 home in the area surrounding Grenfell Tower have been empty for between 11-15 years. Many of these are owned by offshore trusts. In the recent sanctions and anti money laundering bill this issue was tackled and received cross party support. Too late for Grenfell victims but hopefully will change the scandal of home ownership by offshore trusts, for the future. #Grenfell 💚",https://www.facebook.com/HannahBardellSNP/videos/1496562950470300/,,,,,,-1.9047619047619047
Marie Rimmer,677,2018-05-17 07:29:55 EDT,Link,15,2,6,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/MarieRimmer/posts/2045283569017661,"It's vital that the Hillsborough Law is brought forward as soon as possible by the government, to make sure justice is done and the truth is always revealed for victims and their families in cases such as Hillsborough, and now Grenfell. I've joined with many colleagues in writing to Theresa May, urging her to expedite the Hillsborough Law to save more families from the pain of injustice. https://www.theguardian.com/law/2017/oct/31/labour-mps-call-for-theresa-may-to-back-hillsborough-law",https://www.theguardian.com/law/2017/oct/31/labour-mps-call-for-theresa-may-to-back-hillsborough-law,,Labour MPs call for Theresa May to back 'Hillsborough law',Bill proposed by Andy Burnham aims to tackle ‘culture of denial’ displayed over recent disasters and prevent bereaved families facing miscarriage of justice,,,1.0952380952380953
David Lammy,51096,2018-05-17 06:41:32 EDT,Link,385,37,238,2,46,0,36,237,0,,0,0,0,https://www.facebook.com/DavidLammyTottenham/posts/10155292682996541,A betrayal and a whitewash. My response to the Hackitt Review and the decision to not ban flammable cladding: This review is a betrayal and a whitewash. It is unthinkable and unacceptable that so many people can die in a disaster like Grenfell and one year on flammable cladding has not been banned. I will continue to stand with the Grenfell families and will continue to call for an outright ban on any combustible materials. The Grenfell families and the public needed a review that was fearless in standing up to the industry on behalf of all those who lost their lives in Grenfell with recommendations that ensure that an atrocity like Grenfell can never happen again. ]] I simply fail to see how it is deemed appropriate for any combustible material to be used on any tower block in this country and I find it unfathomable that this review has not recommended an outright ban on combustible material.,http://www.bbc.co.uk/news/uk-44148694,,Grenfell review does not urge cladding ban,"It is more important to stop people cutting corners in the building industry, the review lead says.",,,2.0652631578947367
Tommy Sheppard MP,10151,2018-05-17 06:38:41 EDT,Native Video,37,4,5,0,0,0,0,0,0,original,623,739,0,https://www.facebook.com/TommySheppardSNP/posts/2061598964088159,Yesterday I spoke in the debate on Grenfell Tower - we need the fullest possible inquiry and one that has the confidence of those who were most affected by the disaster.,https://www.facebook.com/TommySheppardSNP/videos/2061598964088159/,,Grenfell Tower Debate,,,,-3.5869565217391304
Paul Scully MP,3905,2018-05-17 04:48:07 EDT,Native Video,19,2,1,0,0,0,0,0,0,original,273,322,0,https://www.facebook.com/scullyforsutton/posts/1673541386014734,"Yesterday I had another opportunity to pay tribute to the Grenfell Speaks campaigners and talk about the need to ensure we act, not just say soothing words, to ensure the community get the housing and the justice they need and deserve.",https://www.facebook.com/scullyforsutton/videos/1673541386014734/,,Grenfell speech 17.05.18,,,,-1.7727272727272727
Sadiq Khan,697592,2018-05-16 12:12:34 EDT,Link,186,12,21,2,1,0,3,7,0,,0,0,0,https://www.facebook.com/sadiqforlondon/posts/1899192916800153,"I welcome the government’s intention to fund the removal of dangerous cladding, something I and others have long called for. It really should not have taken nearly a full year for Ministers to get their act together and support councils and housing associations who have been in limbo for far too long, causing misery and uncertainty for tenants and leaseholders. Now the government has finally woken up and recognised the importance of this issue, I hope they will move much quicker to ensure all the private blocks affected are identified and that disputes over costs do not stop works from being carried out. http://www.bbc.co.uk/news/uk-44141374",http://www.bbc.co.uk/news/uk-44141374,,PM pledges to fund tower cladding removal,Material similar to that blamed in the Grenfell fire will be stripped from towers at the government's expense.,,,-1.396551724137931
Alison McGovern MP,2511,2018-05-16 10:38:52 EDT,Photo,7,1,4,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/alisonmcgovernforwirralsouth/posts/1474204166017735,I have sent a letter to the Prime Minister to urgently highlight the need for a Hillsborough Law. Especially at a time when we are debating the aftermath of the Grenfell fire in the House of Commons.,https://www.facebook.com/alisonmcgovernforwirralsouth/photos/a.539504379487723.1073741830.524096984361796/1474199579351527/?type=3,,Photos from Alison McGovern MP's post,,,,-1.75
Naz Shah MP,18987,2018-05-16 08:22:24 EDT,Link,48,1,3,0,0,0,0,2,0,,0,0,0,https://www.facebook.com/NazShahMP/posts/1851194078514422,"The government is abdicating its responsibility to leaseholders like those with flats in Landmark House. Whilst Ministers pay lip service to cost recovery via other means, the reality on the ground is that developers are simply passing the cost of re-cladding on to residents. This is completely unacceptable. Leaseholders brought their homes on the understanding that these buildings were fully compliant with safety legislation. It is absolutely wrong that residents like those at Landmark House should have to pay ro remedy deficiencies in the building of which they were completely unaware.” http://www.thetelegraphandargus.co.uk/news/16227517.Bradford_flats_must_have_Grenfell-style_cladding_removed__immediately__-_MP/#comments-anchor",http://www.thetelegraphandargus.co.uk/news/16227517.Bradford_flats_must_have_Grenfell-style_cladding_removed__immediately__-_MP/#comments-anchor,,Bradford flats must have Grenfell-style cladding removed 'immediately' - MP,Tenants face being asked to pay for their own fire warden if the building isn’t renovated.,,,-1.7592592592592593
Rushanara Ali,794425,2018-05-16 08:11:44 EDT,Link,272,9,8,11,2,0,0,0,0,,0,0,0,https://www.facebook.com/rushanaraali/posts/10158577051159619,"At the Westminster Hall Grenfell Debate earlier this week, I highlighted the need for the Government to prioritise & urgently fund fire prevention work in tower blocks as a matter of urgency. https://goo.gl/zTnrog:=:https://parliamentlive.tv/event/index/143ec7e0-1ba0-480b-a5cd-126536e7bfd7?in=16:48:24&out=16:49:43",https://goo.gl/zTnrog,https://parliamentlive.tv/event/index/143ec7e0-1ba0-480b-a5cd-126536e7bfd7?in=16:48:24&out=16:49:43,Parliamentlive.tv,Westminster Hall,,,-1.8013245033112584
David Lammy,51023,2018-05-16 08:08:06 EDT,Link,2437,124,701,237,15,3,4,45,0,,0,0,0,https://www.facebook.com/DavidLammyTottenham/posts/10155290850081541,"PM has backed down and said the Government will pay to take down cladding from tower blocks after almost a year of saying no. I can't believe I had to fight for this and I can't believe the Government refused for so long, but they did. Well done all UKLabour colleagues campaigning on this for months.",https://www.independent.co.uk/news/uk/politics/grenfell-cladding-theresa-may-plan-remove-tower-blocks-safety-fire-latest-a8353991.html,,Theresa May announces £400m plan to strip Grenfell-style cladding from tower blocks,"Theresa May has agreed to spend £400m to strip dangerous cladding similar to that found on Grenfell Tower from housing blocks, in an attempt to head of a parliamentary challenge from Labour. More follows…",,,7.5073684210526315
Tom Pursglove MP,2149,2018-05-15 15:00:02 EDT,Photo,3,0,0,0,0,1,0,0,0,,0,0,0,https://www.facebook.com/TomPursgloveMP/posts/979456655566480,"Last Tuesday, I went to a drop-in session at Speaker’s House organised by Grenfell United. This was a very useful opportunity to get an update on the current situation, but also to meet and talk to survivors about their individual experiences, particularly given the parliamentary debate which is to take place next week. The conversations were extremely difficult and very, very, moving, but an important opportunity for us as MPs to get the direct feedback of those so tragically affected, and make sure we are doing everything we possibly can to help them rebuild their lives and ensure a tragedy like this can never happen again. Photography by Marley Edwards.",https://www.facebook.com/TomPursgloveMP/photos/a.222860804559406.1073741828.202689703243183/979456575566488/?type=3,,,,,,-6.25
Tommy Sheppard MP,10153,2018-05-15 11:59:33 EDT,Photo,39,0,9,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/TommySheppardSNP/posts/2060768450837877,Yesterday I spoke in the Westminster Hall debate on Grenfell (link to my speech below). Following the debate where there was serious cross party concern about how the local council has dealt with this matter the debate moves to the main chamber tomorrow. Let's hope the Government can come up with some better answers now they've had some time to think about it. https://youtu.be/H2kN77hRPEk:=:https://www.youtube.com/watch?v=H2kN77hRPEk&feature=youtu.be,https://www.facebook.com/TommySheppardSNP/photos/a.1526152650966129.1073741829.1525742567673804/2060768397504549/?type=3,,,,,,-1.6041666666666667
Diane Abbott MP,46228,2018-05-15 07:52:00 EDT,Link,74,7,15,6,0,0,5,2,0,,0,0,0,https://www.facebook.com/Dianeabbott/posts/1100557496753374,"""Theresa May has finally agreed to appoint a panel of experts to the Grenfell inquiry. This decision took a petition initiated by the survivors and bereaved families, thousands of signatures and an unrelenting campaign. This was a stress that the survivors and bereaved should not have had to face, and could have been spared if she had respected their wishes from the outset. It is right to welcome the appointment of two members on the panel for phase two of the inquiry looking at the circumstances surrounding the fire as a step in the right direction – but it does not go far enough."" - Diane Abbott MP",https://labourlist.org/2018/05/diane-abbott-listen-to-the-grenfell-survivors-and-bereaved-theresa-may/,,"Diane Abbott: Listen to the Grenfell survivors and bereaved, Theresa May | LabourList","Theresa May has finally agreed to appoint a panel of experts to the Grenfell inquiry. This decision took a petition initiated by the survivors and bereaved families, thousands of signatures and an unrelenting campaign. This was a stress that the survivors and bereaved should not have had to face, an...",,,-1.1376146788990826
Paul Scully MP,3884,2018-05-15 07:14:24 EDT,Native Video,30,2,5,1,0,0,0,0,0,original,285,476,0,https://www.facebook.com/scullyforsutton/posts/1671923546176518,"In my opening speech during the Grenfell Inquiry debate, I read out the names of the 72 victims of the fire to show that this isn't about process but people. The Prime Minister has shown that she is listening by appointing two additional panel members but we need to do more to meet the needs and expectations of Grenfell Speaks. They feel ignored, forgotten about and that the establishment treats them as a bother. It isn't the case but the belief is totally understandable. The government at every level, national and local, needs to continue to work hard to ensure that the survivors can get answers, start to rebuild their lives and see justice done.",https://www.facebook.com/scullyforsutton/videos/1671923546176518/,,Grenfell Inquiry debate in Parliament 14.05.18,,,,-1.0263157894736843
Paul Scully MP,3884,2018-05-15 06:45:19 EDT,Photo,30,4,0,1,0,0,0,0,0,,0,0,0,https://www.facebook.com/scullyforsutton/posts/1671906196178253,"Yesterday was a tough but rewarding day. I led the debate in Parliament about the #Grenfell Inquiry. Grenfell Speaks were out in Parliament Square beforehand to express their frustration, despair and anger and of course to pay tribute to the 72 victims of the fire. Reading some of the pen sketches about the victims in preparation for my speech was so moving and really hammered home the need to ensure that every part of the rehousing and recovery process is people-centred. I'm really grateful to Grenfell United and members of the community to take the time to speak to me and I value their dignified determination and resolve.",https://www.facebook.com/scullyforsutton/photos/a.489584281077123.99296.479504198751798/1671903339511872/?type=3,,Photos from Paul Scully MP's post,,,,1.0294117647058822
Liz Kendall,9145,2018-05-14 15:24:36 EDT,Native Video,60,10,9,5,0,0,0,0,0,original,1005,1224,0,https://www.facebook.com/LabourLiz/posts/2143438839218496,"Watch my speech on the inquiry into the Grenfell Tower fire: There has been an appalling lack of action on rehousing those who have lost their homes, much more must be done to ensure the children affected get long-term mental health support and the help they need at school, and the families affected must be put at the heart of this investigation",https://www.facebook.com/LabourLiz/videos/2143438839218496/,,Liz speaks in debate on inquiry into Grenfell Tower fire,,,,1.024390243902439
Alison McGovern MP,2513,2018-05-14 14:18:25 EDT,Link,4,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/alisonmcgovernforwirralsouth/posts/1472647296173422,We have no choice. It is unbearable to us that the struggle we have witnessed and the cost to the lives of those who are forced to campaign should be carried again. #jft96 #grenfell ❤💚 https://t.co/9nCxZGON9c:=:https://twitter.com/realbritainros/status/996076882381635584,https://t.co/9nCxZGON9c,https://twitter.com/realbritainros/status/996076882381635584,Real Britain on Twitter,“One of good things to emerge from #Grenfelldebate is solidarity felt by Liverpool MPs like @Alison_McGovern @DanCardenMP over Hillsborough”,,,-5.0
David Lammy,50972,2018-05-14 13:17:35 EDT,Native Video,315,27,101,40,1,0,18,10,0,original,6655,7759,0,https://www.facebook.com/DavidLammyTottenham/posts/10155287293741541,"If we have an Inquiry that fails to represent the people in whose interests it is supposed to act then it has failed before it has even begun. The Government has lost sight of who the Grenfell Inquiry is for. It is for the people who were failed before the fire and have been failed since the fire. It is for the victims, the survivors and everyone who is grieving and carrying the burden of loss like a scar burned into their soul. If the Inquiry is not for these people then it ceases to be an Inquiry, it becomes a talking shop and an exercise in spin.",https://www.facebook.com/DavidLammyTottenham/videos/10155287292221541/,,Grenfell debate 14.05.18,,,,1.3094629156010231
Diane Abbott MP,46222,2018-05-14 13:00:08 EDT,Native Video,184,15,53,30,0,2,8,0,0,original,1844,2413,0,https://www.facebook.com/Dianeabbott/posts/1100203410122116,Diane Abbott MP addresses the protest outside Parliament before the debate in Parliament called by Grenfell survivors and bereaved. Join the Silent Walk tonight 7pm outside the Methodist Church on Lancaster Road W11,https://www.facebook.com/Dianeabbott/videos/1100203410122116/,,"""We need to fight, not just for justice for Grenfell, but for justice for communities""",,,,1.748502994011976
"Kate Hollern, MP for Blackburn",1657,2018-05-14 10:58:22 EDT,Link,1,0,0,0,1,0,0,0,0,,0,0,0,https://www.facebook.com/katehollernforblackburn/posts/1401962363241296,"For victims, their families and the public to have faith in the Government's Grenfell inquiry there must be full transparency. Transparency and accountability are necessary to ensure both trust and legitimacy in the findings of the inquiry, and to ensure justice is done. http://www.bbc.co.uk/news/uk-44085044",http://www.bbc.co.uk/news/uk-44085044,,U-turn over Grenfell fire inquiry panel,"Theresa May agrees to appoint a panel to help oversee the Grenfell fire inquiry, after victims' families said they feared a whitewash.",,,-12.0
Tom Watson,53262,2018-05-14 04:13:21 EDT,Link,507,26,315,56,0,1,413,15,0,,0,0,0,https://www.facebook.com/tom.watson.uk/posts/1803984992956823,"""There was an Afghan army officer, a Sudanese dressmaker, a British artist and an Italian architect. There was an Egyptian hairdresser, an Eritrean waitress and a Lebanese soldier..."" A perfect intro to the Guardian's hugely significant front page today on the victims of Grenfell. As MPs debate the catastrophe, the public inquiry opens next week and the June 14 anniversary approaches, it is vital we shout the names of the Grenfell 71 loud and clear.",https://www.theguardian.com/uk-news/2018/may/14/grenfell-the-71-victims-their-lives-loves-and-losses,,"Grenfell: the 71 victims, their lives, loves and losses","From artists and soldiers to taxi drivers and teachers, we celebrate the lives of the 71",,,2.463955637707948
Sadiq Khan,697930,2018-05-11 10:08:16 EDT,Photo,134,11,16,3,0,1,4,1,0,,0,0,0,https://www.facebook.com/sadiqforlondon/posts/1893954163990695,"Today it’s been announced that a panel of experts will sit alongside a judge at the Grenfell Tower Inquiry. I have repeatedly called for this, and so welcome the Prime Minister finally agreeing to this. This is a very important and long-overdue concession from the Government – and one that I and others have been calling for since the Public Inquiry was established. However, it is crucial that the diversity, background and experience of those appointed ensures the panel can effectively understand the issues being raised in the Inquiry. I want to pay tribute to the Grenfell families, survivors and the local community who fought so hard for this. If we are to get justice for the Grenfell victims and their families, it is absolutely vital that they have full confidence in the Inquiry. The Grenfell Tower fire shocked us all. As well as the heartache, it shone a light on the stark inequalities that still exist in our country - one of the richest countries in the world. It must...",https://www.facebook.com/sadiqforlondon/photos/a.337485702970890.99134.275283499191111/1893954060657372/?type=3,,,,,,-1.6764705882352942
Alison McGovern MP,2515,2018-05-11 08:55:49 EDT,Link,5,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/alisonmcgovernforwirralsouth/posts/1469699676468184,"This is important. Getting a diverse panel hopefully increases trust for those affected by #Grenfell, esp families of the bereaved. This is a key learning from the Hillsborough Independent Panel and Bishop James Jones' work. A lot more to do though. https://t.co/za2GRBvCK3:=:https://www.theguardian.com/uk-news/2018/may/11/theresa-may-expands-grenfell-inquiry-panel-after-survivors-pressure?CMP=share_btn_tw",https://t.co/za2GRBvCK3,https://www.theguardian.com/uk-news/2018/may/11/theresa-may-expands-grenfell-inquiry-panel-after-survivors-pressure?CMP=share_btn_tw,Theresa May expands Grenfell inquiry panel after survivors' pressure,PM seeks two more members after originally opposing appointment of more people to sit alongside judge,,,-4.0
David Lammy,50892,2018-05-11 05:27:10 EDT,Photo,495,97,275,5,12,3,67,123,0,,0,0,0,https://www.facebook.com/DavidLammyTottenham/posts/10155279923566541,A picture speaks a thousand words. Justice for Grenfell.,https://www.facebook.com/DavidLammyTottenham/photos/a.10152845178966541.1073741828.19129786540/10155279923531541/?type=3,,,,,,1.4653061224489796
Jeremy Corbyn,1392299,2018-05-09 05:38:16 EDT,Link,2426,164,1458,9,34,5,441,1221,0,,0,0,0,https://www.facebook.com/JeremyCorbynMP/posts/10156428594548872,‪This decision tells you all you need to know about how the Tories treat working class people. Such injustice cannot continue.,https://www.theguardian.com/uk-news/2018/may/08/grenfell-tower-more-costly-fire-resistant-cladding-plan-was-dropped,,Grenfell Tower: fire-resistant cladding plan was dropped,"Exclusive: Nonflammable panel system may have saved lives, expert says, and ended up cheaper",,,1.660322952710496
Douglas Carswell page,15432,2018-05-09 03:40:44 EDT,Link,0,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/CarswellDouglas/posts/831320627052927,"Literally whatever Bercow does, the press lobby attack him for. https://t.co/TeWjvi58Rh:=:https://twitter.com/davidwooding/status/994119504211922950",https://t.co/TeWjvi58Rh,https://twitter.com/davidwooding/status/994119504211922950,David Wooding on Twitter,“Speaker is accused of using Grenfell memorial event to drum up support. https://t.co/fYlFXp1zIJ:=:https://www.thesun.co.uk/news/6241388/speaker-john-bercow-using-grenfell-event-to-drum-up-support/”,,,-48.0
