Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Rushanara Ali,794425,2018-05-16 08:11:44 EDT,Link,272,9,8,11,2,0,0,0,0,,0,0,0,https://www.facebook.com/rushanaraali/posts/10158577051159619,"At the Westminster Hall Grenfell Debate earlier this week, I highlighted the need for the Government to prioritise & urgently fund fire prevention work in tower blocks as a matter of urgency. https://goo.gl/zTnrog:=:https://parliamentlive.tv/event/index/143ec7e0-1ba0-480b-a5cd-126536e7bfd7?in=16:48:24&out=16:49:43",https://goo.gl/zTnrog,https://parliamentlive.tv/event/index/143ec7e0-1ba0-480b-a5cd-126536e7bfd7?in=16:48:24&out=16:49:43,Parliamentlive.tv,Westminster Hall,,,-1.8013245033112584
David Lammy,51023,2018-05-16 08:08:06 EDT,Link,2437,124,701,237,15,3,4,45,0,,0,0,0,https://www.facebook.com/DavidLammyTottenham/posts/10155290850081541,"PM has backed down and said the Government will pay to take down cladding from tower blocks after almost a year of saying no. I can't believe I had to fight for this and I can't believe the Government refused for so long, but they did. Well done all UKLabour colleagues campaigning on this for months.",https://www.independent.co.uk/news/uk/politics/grenfell-cladding-theresa-may-plan-remove-tower-blocks-safety-fire-latest-a8353991.html,,Theresa May announces £400m plan to strip Grenfell-style cladding from tower blocks,"Theresa May has agreed to spend £400m to strip dangerous cladding similar to that found on Grenfell Tower from housing blocks, in an attempt to head of a parliamentary challenge from Labour. More follows…",,,7.5073684210526315
Richard Burgon MP,25634,2018-05-15 09:31:10 EDT,Native Video,49,1,6,1,0,0,0,0,0,original,467,523,0,https://www.facebook.com/richardburgonmp/posts/2044908622450745,"Far too often in this country politics acts as a dam, holding back justice rather than helping it to flow. Race and class and power are at the heart of this. My speech at the Grenfell Inquiry debate in parliament yesterday:",https://www.facebook.com/richardburgonmp/videos/2044908622450745/,,Richard Burgon | Grenfell Inquiry,,,,-2.1403508771929824
Diane Abbott MP,46228,2018-05-15 07:52:00 EDT,Link,74,7,15,6,0,0,5,2,0,,0,0,0,https://www.facebook.com/Dianeabbott/posts/1100557496753374,"""Theresa May has finally agreed to appoint a panel of experts to the Grenfell inquiry. This decision took a petition initiated by the survivors and bereaved families, thousands of signatures and an unrelenting campaign. This was a stress that the survivors and bereaved should not have had to face, and could have been spared if she had respected their wishes from the outset. It is right to welcome the appointment of two members on the panel for phase two of the inquiry looking at the circumstances surrounding the fire as a step in the right direction – but it does not go far enough."" - Diane Abbott MP",https://labourlist.org/2018/05/diane-abbott-listen-to-the-grenfell-survivors-and-bereaved-theresa-may/,,"Diane Abbott: Listen to the Grenfell survivors and bereaved, Theresa May | LabourList","Theresa May has finally agreed to appoint a panel of experts to the Grenfell inquiry. This decision took a petition initiated by the survivors and bereaved families, thousands of signatures and an unrelenting campaign. This was a stress that the survivors and bereaved should not have had to face, an...",,,-1.1376146788990826
Richard Burgon MP,25628,2018-05-14 16:16:06 EDT,Photo,74,1,10,2,0,0,1,1,0,,0,0,0,https://www.facebook.com/richardburgonmp/posts/2044609595813981,Before the debate in Parliament today I joined survivors and bereaved families at their rally to hear their ongoing call for Justice for Grenfell.,https://www.facebook.com/richardburgonmp/photos/a.1677657265842551.1073741829.1677654202509524/2044609595813981/?type=3,,Timeline Photos,,,,-1.5168539325842696
Liz Kendall,9145,2018-05-14 15:24:36 EDT,Native Video,60,10,9,5,0,0,0,0,0,original,1005,1224,0,https://www.facebook.com/LabourLiz/posts/2143438839218496,"Watch my speech on the inquiry into the Grenfell Tower fire: There has been an appalling lack of action on rehousing those who have lost their homes, much more must be done to ensure the children affected get long-term mental health support and the help they need at school, and the families affected must be put at the heart of this investigation",https://www.facebook.com/LabourLiz/videos/2143438839218496/,,Liz speaks in debate on inquiry into Grenfell Tower fire,,,,1.024390243902439
Alison McGovern MP,2513,2018-05-14 14:18:25 EDT,Link,4,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/alisonmcgovernforwirralsouth/posts/1472647296173422,We have no choice. It is unbearable to us that the struggle we have witnessed and the cost to the lives of those who are forced to campaign should be carried again. #jft96 #grenfell ❤💚 https://t.co/9nCxZGON9c:=:https://twitter.com/realbritainros/status/996076882381635584,https://t.co/9nCxZGON9c,https://twitter.com/realbritainros/status/996076882381635584,Real Britain on Twitter,“One of good things to emerge from #Grenfelldebate is solidarity felt by Liverpool MPs like @Alison_McGovern @DanCardenMP over Hillsborough”,,,-5.0
David Lammy,50972,2018-05-14 13:17:35 EDT,Native Video,315,27,101,40,1,0,18,10,0,original,6655,7759,0,https://www.facebook.com/DavidLammyTottenham/posts/10155287293741541,"If we have an Inquiry that fails to represent the people in whose interests it is supposed to act then it has failed before it has even begun. The Government has lost sight of who the Grenfell Inquiry is for. It is for the people who were failed before the fire and have been failed since the fire. It is for the victims, the survivors and everyone who is grieving and carrying the burden of loss like a scar burned into their soul. If the Inquiry is not for these people then it ceases to be an Inquiry, it becomes a talking shop and an exercise in spin.",https://www.facebook.com/DavidLammyTottenham/videos/10155287292221541/,,Grenfell debate 14.05.18,,,,1.3094629156010231
Diane Abbott MP,46222,2018-05-14 13:00:08 EDT,Native Video,184,15,53,30,0,2,8,0,0,original,1844,2413,0,https://www.facebook.com/Dianeabbott/posts/1100203410122116,Diane Abbott MP addresses the protest outside Parliament before the debate in Parliament called by Grenfell survivors and bereaved. Join the Silent Walk tonight 7pm outside the Methodist Church on Lancaster Road W11,https://www.facebook.com/Dianeabbott/videos/1100203410122116/,,"""We need to fight, not just for justice for Grenfell, but for justice for communities""",,,,1.748502994011976
"Kate Hollern, MP for Blackburn",1657,2018-05-14 10:58:22 EDT,Link,1,0,0,0,1,0,0,0,0,,0,0,0,https://www.facebook.com/katehollernforblackburn/posts/1401962363241296,"For victims, their families and the public to have faith in the Government's Grenfell inquiry there must be full transparency. Transparency and accountability are necessary to ensure both trust and legitimacy in the findings of the inquiry, and to ensure justice is done. http://www.bbc.co.uk/news/uk-44085044",http://www.bbc.co.uk/news/uk-44085044,,U-turn over Grenfell fire inquiry panel,"Theresa May agrees to appoint a panel to help oversee the Grenfell fire inquiry, after victims' families said they feared a whitewash.",,,-12.0
Tom Watson,53262,2018-05-14 04:13:21 EDT,Link,507,26,315,56,0,1,413,15,0,,0,0,0,https://www.facebook.com/tom.watson.uk/posts/1803984992956823,"""There was an Afghan army officer, a Sudanese dressmaker, a British artist and an Italian architect. There was an Egyptian hairdresser, an Eritrean waitress and a Lebanese soldier..."" A perfect intro to the Guardian's hugely significant front page today on the victims of Grenfell. As MPs debate the catastrophe, the public inquiry opens next week and the June 14 anniversary approaches, it is vital we shout the names of the Grenfell 71 loud and clear.",https://www.theguardian.com/uk-news/2018/may/14/grenfell-the-71-victims-their-lives-loves-and-losses,,"Grenfell: the 71 victims, their lives, loves and losses","From artists and soldiers to taxi drivers and teachers, we celebrate the lives of the 71",,,2.463955637707948
Richard Burgon MP,25634,2018-05-13 07:49:58 EDT,Status,43,0,8,2,0,0,0,0,0,,0,0,0,https://www.facebook.com/richardburgonmp/posts/2043988759209398,"The decision to finally grant a panel in the Grenfell Inquiry is a step forward and a result of the tenacious campaigning by survivors and bereaved family members But lots of questions remain unanswered. For example, why is the panel only going to sit in Phase 2 of the Inquiry? Where are we with the second demand in the public petition about survivors' lawyers having all the evidence from the start and being able to cross-examine the witnesses, as happened in the Lawrence Inquiry? What mechanisms are there to guarantee the ongoing confidence of survivors and bereaved family members in the Inquiry? For the Grenfell Inquiry to deliver truth and justice, it must always have the full confidence of the bereaved families and survivors. At tomorrow’s Grenfell Inquiry parliamentary debate we need greater clarity from the Government, not the delays and obfuscations we have had over recent months.",,,,,,,-4.9245283018867925
Richard Burgon MP,25634,2018-05-13 07:49:58 EDT,Status,43,0,8,2,0,0,0,0,0,,0,0,0,https://www.facebook.com/richardburgonmp/posts/2044105279197746,"The decision to finally grant a panel in the Grenfell Inquiry is a step forward and a result of the tenacious campaigning by survivors and bereaved family members But lots of questions remain unanswered. For example, why is the panel only going to sit in Phase 2 of the Inquiry? Where are we with the second demand in the public petition about survivors' lawyers having all the evidence from the start and being able to cross-examine the witnesses, as happened in the Lawrence Inquiry? What mechanisms are there to guarantee the ongoing confidence of survivors and bereaved family members in the Inquiry? For the Grenfell Inquiry to deliver truth and justice, it must always have the full confidence of the bereaved families and survivors. At tomorrow’s Grenfell Inquiry parliamentary debate we need greater clarity from the Government, not the delays and denials we have had over recent months.",,,,,,,-4.9245283018867925
Richard Burgon MP,25642,2018-05-12 05:27:02 EDT,Native Video,63,3,21,0,0,0,0,0,0,original,642,1334,0,https://www.facebook.com/richardburgonmp/posts/2043477245927216,The PM has finally agreed to the call from survivors and bereaved families for a panel of experts to be appointed. This result is a testament to the tenacity of survivors and families. But they shouldn’t have had to petition and lobby to get this. They deserve justice.,https://www.facebook.com/richardburgonmp/videos/2043477245927216/,,Richard Burgon | Grenfell Inquiry,,,,-1.4022988505747127
Imran Hussain MP,9243,2018-05-11 15:59:33 EDT,Status,3,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/MP.ImranHussain/posts/2103357796620644,"Retweeted Richard Burgon MP (@RichardBurgon): Almost a year since the Grenfell Inquiry was announced, Theresa May has finally acted on the survivors' call for a panel of experts to be appointed. No-one should be forced to petition for justice. Survivors' voices must be heard throughout this Inquiry. https://t.co/rMtXR7xv7e:=:https://www.huffingtonpost.co.uk/entry/grenfell-inquiry_uk_5af5b7b5e4b032b10bfa3f1f?xvg",,,,,,,-0.7857142857142857
Richard Burgon MP,25650,2018-05-11 13:57:30 EDT,Link,55,4,15,1,0,0,0,2,0,,0,0,0,https://www.facebook.com/richardburgonmp/posts/2043207369287537,"Almost a year since the Grenfell Inquiry was announced, Theresa May has finally acted on the survivors' call for a panel of experts to be appointed. No-one should be forced to petition for justice. Survivors' voices must be heard throughout this Inquiry.",https://www.huffingtonpost.co.uk/entry/grenfell-inquiry_uk_5af5b7b5e4b032b10bfa3f1f?xvg,,"For The Grenfell Inquiry To Deliver Truth And Justice, It Must Always Have The Full Confidence Of The Bereaved Families And Survivors","Any distrust of the authorities is understandable given how Grenfell survivors describe being let down by local and national governments, both before and after the fire",,,-1.7922077922077921
Alison McGovern MP,2515,2018-05-11 08:55:49 EDT,Link,5,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/alisonmcgovernforwirralsouth/posts/1469699676468184,"This is important. Getting a diverse panel hopefully increases trust for those affected by #Grenfell, esp families of the bereaved. This is a key learning from the Hillsborough Independent Panel and Bishop James Jones' work. A lot more to do though. https://t.co/za2GRBvCK3:=:https://www.theguardian.com/uk-news/2018/may/11/theresa-may-expands-grenfell-inquiry-panel-after-survivors-pressure?CMP=share_btn_tw",https://t.co/za2GRBvCK3,https://www.theguardian.com/uk-news/2018/may/11/theresa-may-expands-grenfell-inquiry-panel-after-survivors-pressure?CMP=share_btn_tw,Theresa May expands Grenfell inquiry panel after survivors' pressure,PM seeks two more members after originally opposing appointment of more people to sit alongside judge,,,-4.0
Richard Burgon MP,25650,2018-05-11 08:20:33 EDT,Status,64,1,6,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/richardburgonmp/posts/2043083875966553,"The decision to finally grant a panel in the Grenfell Inquiry is testimony to the campaign by the bereaved families and the survivors - and to the overwhelming public support they attracted. But after everything they have been through, the bereaved families and the survivors should never have had to wage this campaign. The demand for a panel was always about ensuring the trust of the community in the Inquiry and a panel should have been delivered from the start. For the Grenfell Inquiry to deliver truth and justice, it must always have the full confidence of the bereaved families and survivors and it is essential that, going forward, all their other demands are properly met.",,,,,,,-3.676056338028169
Imran Hussain MP,9243,2018-05-11 08:18:49 EDT,Status,6,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/MP.ImranHussain/posts/2103124183310672,Retweeted Richard Burgon MP (@RichardBurgon): The decision to finally grant a panel in the Grenfell Inquiry is testimony to the campaign by the bereaved families and the survivors - and to the overwhelming public support they attracted. (1),,,,,,,-0.5714285714285714
