Name,Day,URL,Message,Party,Platform,Month,Year,Month Year,Date,Party colour,West Midlands constituencies,Cladding mention
Alison Thewliss,2018-03-22,https://twitter.com/alisonthewliss/status/976805343350153216,"My reply to the UK Government statement on Grenfell today. I asked for progress reports, paid tribute to @KevinStewartSNP for his work on fire safety in housing, and also to the @scotfire_west firefighters currently battling the Sauchiehall Street blaze. https://www.youtube.com/watch?v=-EtPQI2oVSI&sns=tw",SNP,Twitter,3,2018,03/2018,2018/03,B) SNP,#N/A,No cladding
Alison Thewliss,2017-06-27,https://www.facebook.com/AlisonThewlissSNP/posts/1716069425073887,"Following the tragic events at Grenfell Tower, I questioned the Secretary of State for Communities and Local Government on providing adequate resources to the fire service, as well as asking him to ensure that residents who are rehoused get the same terms or better in their tenancy agreements and that he takes into account good examples of building regulations and resilience planning in Scotland.",SNP,Facebook,6,2017,06/2017,2017/06,B) SNP,#N/A,No cladding
Alison Thewliss,2017-10-30,https://www.facebook.com/AlisonThewlissSNP/posts/1853395828007912,"The Scottish Parliament's Local Government and Communities Committee has produced an important report on residential fire safety, highlighting measures to increase fire prevention like unannounced fire safety inspections and national inventories of high rise buildings. These measures should be introduced across the UK to ensure another tragedy like Grenfell Tower does not occur again. https://sp-bpr-en-prod-cdnep.azureedge.net/published/LGC/2017/10/30/Building-Regulations-and-Fire-Safety-in-Scotland/LGCS052017R9.pdf",SNP,Facebook,10,2017,10/2017,2017/10,B) SNP,#N/A,No cladding
Alison Thewliss,2018-03-23,https://www.facebook.com/AlisonThewlissSNP/posts/2014464138567746,"Firefighters do an amazing job keeping us all safe - demonstrated by the efficient response to the fire in Sauchiehall Street yesterday. In the wake of the Grenfell tragedy, I asked the Secretary of State what steps the UK Government is taking to ensure that comprehensive fire prevention measures are in place for all buildings - whether they are owned, privately rented or socially rented.",SNP,Facebook,3,2018,03/2018,2018/03,B) SNP,#N/A,No cladding
Alistair Burt,2017-07-03,https://www.facebook.com/AlistairBurtforNEBedfordshire/posts/694136810773617,"Following the tragic events at Grenfell Tower, I am grateful to Chief Fire Officer Paul Fuller for his reassuring letter. I am also in touch with local housing associations to ensure they have the support they need to carry out the various checks the Government has asked for.",Conservative,Facebook,7,2017,07/2017,2017/07,A) Conservative,#N/A,No cladding
Alok Sharma,2017-06-29,https://twitter.com/AlokSharma_RDG/status/880476521852436485,Apologies for missing #CIHousing2017. Organising meets with sector but priority right now are #Grenfell residents - met more families today,Conservative,Twitter,6,2017,06/2017,2017/06,A) Conservative,#N/A,No cladding
Alok Sharma,2017-12-15,https://twitter.com/AlokSharma_RDG/status/941691159520448512,"Wonderful to meet with local #RedCross volunteers in #Reading, many of whom provided assistance at #Grenfell. A heartfelt thanks for all your hard and selfless work @BritishRedCross @ThamesValleyER https://t.co/mjvZ3PGArE",Conservative,Twitter,12,2017,12/2017,2017/12,A) Conservative,#N/A,No cladding
Amber Rudd,2017-06-14,https://www.facebook.com/amberruddofficial/posts/1045034672294363,"I would like to pass on the thoughts and prayers of all residents from Hastings and Rye to the families affected by the Grenfell Tower fire in London. Our deepest sympathies are with all the families at this difficult time. To reassure local residents who live in purpose-built flats, you can view the below document produced by the East Sussex Fire and Rescue Service for advice on fire safety. Click below to view the document: http://www.esfrs.org/EasysiteWeb/getresource.axd?AssetID=329&type=Full&servicetype=Attachment",Conservative,Facebook,6,2017,06/2017,2017/06,A) Conservative,#N/A,No cladding
Amber Rudd,2017-06-23,https://www.facebook.com/amberruddofficial/posts/1050545748409922,You can view my most recent Hastings Observer column on my website by clicking the below link: https://www.amberrudd.co.uk/news/hastings-observer-column-23-june,Conservative,Facebook,6,2017,06/2017,2017/06,A) Conservative,#N/A,No cladding
Andrea Jenkyns,2017-06-19,https://twitter.com/andreajenkyns/status/876752747739140100,Powerful minute's silence this morning paying my respects to the victims of the Grenfell fire. My prayers go out to the victims' families.,Conservative,Twitter,6,2017,06/2017,2017/06,A) Conservative,#N/A,No cladding
Andrea Leadsom,2017-06-16,https://www.facebook.com/andrealeadsom/posts/1575777455774862,So much support for #GrenfellTower residents. If you'd like to help @standardnews has launched a fundraising appeal: https://t.co/puO9beSeGe,Conservative,Facebook,6,2017,06/2017,2017/06,A) Conservative,#N/A,No cladding
Andrew Gwynne,2017-06-30,https://twitter.com/GwynneMP/status/880826283936055296,Long overdue: Kensington and Chelsea Tory council leader quits in wake of Grenfell disaster https://www.theguardian.com/uk-news/2017/jun/30/kensington-and-chelsea-council-leader-nicholas-paget-brown-quits-in-wake-of-grenfell-disaster?CMP=share_btn_tw,Labour,Twitter,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Andrew Gwynne,2017-11-17,https://twitter.com/GwynneMP/status/931475304928940032,📰READ: In this weeks edition of @newsintameside I look at the Govt's inaction in response to the tragedy at Grenfell. 5 months on and the Govt are still to provide funds for councils in order to retrofit sprinklers in all tower blocks #MakeHomesSafe https://andrewgwynne.co.uk/2017/11/17/a-view-from-westminster-my-column-for-the-tameside-reporter-8/ https://t.co/sdoQN4msHx,Labour,Twitter,11,2017,11/2017,2017/11,J) Labour,#N/A,No cladding
Andrew Gwynne,2017-11-06,https://twitter.com/GwynneMP/status/927604660382392321,📺 WATCH: Today I’ve challenged the Secretary of State for Communities and Local Government on the report of the Grenfell Taskforce. https://t.co/22xtT7qy7m,Labour,Twitter,11,2017,11/2017,2017/11,J) Labour,#N/A,No cladding
Andrew Gwynne,2018-03-07,https://twitter.com/GwynneMP/status/971493331212603393,Good work by @SteveReedMP in uncovering the truth. It seems @MHCLG Ministers have questions to answer here: 📰 Labour says ministers made false claims about cladding after Grenfell https://www.theguardian.com/uk-news/2018/mar/07/labour-says-ministers-made-false-claims-about-cladding-after-grenfell?CMP=share_btn_tw,Labour,Twitter,3,2018,03/2018,2018/03,J) Labour,#N/A,Cladding
Andrew Gwynne,2018-05-17,https://twitter.com/GwynneMP/status/997082833226207232,What’s there to consult on? 😡💚 #Grenfell https://twitter.com/mirrorpolitics/status/997082290932076544,Labour,Twitter,5,2018,05/2018,2018/05,J) Labour,#N/A,No cladding
Andrew Rosindell,2017-07-03,https://www.facebook.com/AndrewRosindellofficial/posts/1803663826316609,On BBC Sunday Politics I discussed Grenfell Tower and knife crime in London. 39.30 minutes in.,Conservative,Facebook,7,2017,07/2017,2017/07,A) Conservative,#N/A,No cladding
Andrew Rosindell,2017-07-03,https://www.facebook.com/AndrewRosindellofficial/posts/1804198636263128,"For those worried regarding fire safety in Havering following the tragic event at Grenfell Tower, please see Cllr. White's statement in the Recorder.",Conservative,Facebook,7,2017,07/2017,2017/07,A) Conservative,#N/A,No cladding
Andrew Rosindell,2017-07-03,https://twitter.com/AndrewRosindell/status/881822200499720196,http://bbc.in/2uBUqI2 Discussing Grenfell Tower and knife crime in London. 39.30 mins #Romford @RomfordRecorder https://t.co/2FBcGDHD9R,Conservative,Twitter,7,2017,07/2017,2017/07,A) Conservative,#N/A,No cladding
Andrew Rosindell,2017-11-30,https://www.facebook.com/AndrewRosindellofficial/posts/1989080514441605,,Conservative,Facebook,11,2017,11/2017,2017/11,A) Conservative,#N/A,No cladding
Andrew Rosindell,2017-12-25,https://twitter.com/AndrewRosindell/status/945325333665976325,"Our Queen speaks for the entire nation on this Christmas Day - remembering those who suffered at the hands of terrorism, in Caribbean hurricanes and at Grenfell Tower; the importance of families, the Commonwealth and the Christian message at Christmas - thank you Your Majesty! https://t.co/9TuGQxJTgK",Conservative,Twitter,12,2017,12/2017,2017/12,A) Conservative,#N/A,No cladding
Andrew Rosindell,2018-05-19,https://www.facebook.com/AndrewRosindellofficial/posts/2209422329074088,,Conservative,Facebook,5,2018,05/2018,2018/05,A) Conservative,#N/A,No cladding
Andrew Rosindell,2018-05-17,https://twitter.com/AndrewRosindell/status/997002038000193536,"Proud to have chaired Monday’s debate into the Grenfell Tower Inquiry, Westminster Hall, House of Commons and to call a 72 second silence in memory of the 72 people who perished - a moving discussion in the presence of victims and their families. @GrenfellSupport @NickHurdUK https://t.co/zEIGUnFmx6",Conservative,Twitter,5,2018,05/2018,2018/05,A) Conservative,#N/A,No cladding
Andrew Selous,2017-06-17,https://twitter.com/AndrewSelous/status/876027599276978176,Deepest sympathy to Grenfell tower victims.The highest block in CBC is five storeys and the cladding has the highest fire resistance rating.,Conservative,Twitter,6,2017,06/2017,2017/06,A) Conservative,#N/A,Cladding
Andy Burnham,2017-10-29,https://twitter.com/AndyBurnhamGM/status/924593989487136768,Experience of Grenfell families shows need for the Hillsborough Law. Crucial week coming up with report out on Wed 1/11. Please sign up. RT https://twitter.com/hillsboroughlaw/status/923927124108611585,Labour,Twitter,10,2017,10/2017,2017/10,J) Labour,#N/A,No cladding
Andy Burnham,2018-02-23,https://twitter.com/AndyBurnhamGM/status/967186877802598400,"Prime Minister, please listen to this reasonable request. Put the Grenfell families first. Give them the truth & housing justice for all. https://twitter.com/grenfellunited/status/967184940180885504",Labour,Twitter,2,2018,02/2018,2018/02,J) Labour,#N/A,No cladding
Andy Burnham,2018-02-23,https://twitter.com/AndyBurnhamGM/status/967177628095516672,Over 93k now. Great to see. Send your own message of support to the Grenfell families & sign tonight. https://twitter.com/grenfellunited/status/967164254955634688,Labour,Twitter,2,2018,02/2018,2018/02,J) Labour,#N/A,No cladding
Andy McDonald,2017-06-15,https://www.facebook.com/AndyMcDonaldMP/posts/1469662543092955,A truly appalling human tragedy & catastrophic safety failure. Far reaching & the most serious of questions need to be addressed in full. https://t.co/nWHc14RKvd:=:https://twitter.com/victorialive/status/875283391662276608,Labour,Facebook,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Andy McDonald,2017-06-15,https://www.facebook.com/AndyMcDonaldMP/posts/1469924259733450,Safety in high rise dwellings in Mbro: Here is a link to actions being taken to reassure residents living there. https://t.co/Pg5JI9Nejt:=:http://www.andymcdonaldmp.org/safety_in_high_rise_properties,Labour,Facebook,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Andy McDonald,2017-11-09,https://www.facebook.com/AndyMcDonaldMP/posts/1607965929262615,Everyone deserves the peace of mind of being safe in their home. The Government should learn from Grenfell & make funds available to install sprinklers in tower blocks across the country. https://t.co/EyqcGMLmaU:=:https://twitter.com/MirrorPolitics/status/928381629734649856,Labour,Facebook,11,2017,11/2017,2017/11,J) Labour,#N/A,No cladding
Andy McDonald,2017-11-09,https://twitter.com/AndyMcDonaldMP/status/928588600371007488,Everyone deserves the peace of mind of being safe in their home. The Government should learn from Grenfell & make funds available to install sprinklers in tower blocks across the country. https://twitter.com/MirrorPolitics/status/928381629734649856,Labour,Twitter,11,2017,11/2017,2017/11,J) Labour,#N/A,No cladding
Andy Slaughter,2017-06-27,https://www.facebook.com/andy4hammersmith/posts/1179700918808323,"We need to know what caused the Grenfell Tower fire – I've written to the Government about the risks posed by electrical appliances, and to ask that more be done to ensure that consumers are safe.",Labour,Facebook,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Andy Slaughter,2017-06-27,https://twitter.com/hammersmithandy/status/879735938666160130,Grenfell Tower fire: MP says public must be told to stop using Hotpoint model https://www.theguardian.com/uk-news/2017/jun/27/grenfell-tower-fire-hotpoint-fridge-freezer-mp-andy-slaughter?CMP=share_btn_tw,Labour,Twitter,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Andy Slaughter,2017-06-27,https://twitter.com/hammersmithandy/status/879679499767566338,We need to know what caused the Grenfell Tower fire – my letter to the Government http://bit.ly/2sWyBTR,Labour,Twitter,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Andy Slaughter,2017-06-24,https://twitter.com/hammersmithandy/status/878553439806136320,Issues raised after Shepherds Bush tumble dryer fire come up again at Grenfell. Why no action from Govt or industry?http://www.dailymail.co.uk/news/article-4634612/Video-shows-British-style-fridge-flames.html,Labour,Twitter,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Andy Slaughter,2017-06-23,https://twitter.com/hammersmithandy/status/878299224928129027,PM says 68 homes 'ring-fenced' for Grenfell victims but won't say if affordable flats lost in fire will be replaced: http://bit.ly/2rKUbJx,Labour,Twitter,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Andy Slaughter,2017-06-23,https://twitter.com/hammersmithandy/status/878292052093673473,Yesterday I spoke on Channel 4 news about the running down of social housing and the impact that had on Grenfell: http://bit.ly/2rKsUqr,Labour,Twitter,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Andy Slaughter,2017-06-23,https://twitter.com/hammersmithandy/status/878257369033187328,After the fire at Grenfell the Government must address its neglect of those living in social housing: http://bit.ly/2t2jlaS,Labour,Twitter,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Andy Slaughter,2017-06-23,https://twitter.com/hammersmithandy/status/878241483102576641,Government must now act on registration and recall of electrical goods following Shepherds Court and Grenfell fires http://www.standard.co.uk/news/london/grenfell-fire-one-blaze-every-day-in-london-caused-by-white-goods-a3571881.html,Labour,Twitter,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Andy Slaughter,2017-06-23,https://twitter.com/hammersmithandy/status/878208742852001792,Hotpoint fridge freezer started Grenfell fire. Echoes of Shepherds Court fire last summer caused by Indesit dryer http://www.independent.co.uk/news/uk/home-news/grenfell-tower-fire-latest-hotpoint-fridge-freezer-combustible-cladding-fuse-blown-blaze-dead-a7804246.html,Labour,Twitter,6,2017,06/2017,2017/06,J) Labour,#N/A,Cladding
Andy Slaughter,2017-06-22,https://twitter.com/hammersmithandy/status/877839423370481664,PM did not answer my question on whether new social homes would be built to replace those allocated to Grenfell residents,Labour,Twitter,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Andy Slaughter,2017-06-22,https://twitter.com/hammersmithandy/status/877838533813260288,"Despite her apology for Grenfell, May had no answers today on tackling the risk to other tower blocks and whether her Government would fund",Labour,Twitter,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Andy Slaughter,2017-06-21,https://twitter.com/hammersmithandy/status/877567623676002305,May right to apologise for the appalling failure to help the victims of Grenfell Tower fire. So why are the same people still running RBKC?,Labour,Twitter,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Andy Slaughter,2017-06-19,https://twitter.com/hammersmithandy/status/876917281502228482,Last week I met volunteers from Hammersmith Mosques at Grenfell Tower. Tonight I visited police protecting those Mosques #moreincommon,Labour,Twitter,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Andy Slaughter,2017-06-15,https://twitter.com/hammersmithandy/status/875318658914013184,.@jeremycorbyn and @emmadentcoad at collection point on visit to Grenfell Tower https://t.co/G7zTHDFNJ1,Labour,Twitter,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Andy Slaughter,2017-06-14,https://twitter.com/hammersmithandy/status/874892876769054721,"Terrible, terrible scenes at Grenfell Tower fire. @londonfire reporting fatalities. Thoughts with all those affected https://www.theguardian.com/uk-news/live/2017/jun/14/grenfell-tower-major-fire-london-apartment-block-white-city-latimer-road",Labour,Twitter,6,2017,06/2017,2017/06,J) Labour,#N/A,No cladding
Andy Slaughter,2017-07-13,https://www.facebook.com/andy4hammersmith/posts/1194522010659547,"Yesterday, I spoke in the debate on the Grenfell Tower Inquiry and raised a number of my concerns about housing, product safety and the disaster relief in the aftermath of the tragic fire. Follow this link to read my speech and the full debate.",Labour,Facebook,7,2017,07/2017,2017/07,J) Labour,#N/A,No cladding
Andy Slaughter,2017-07-28,https://www.facebook.com/andy4hammersmith/posts/1208376405940774,"The recent election was one of the strangest of the nine General Elections I have worked in. Since then we have had the horrible tragedy of Grenfell and the continuing farce of the Tory's Hard Brexit. With May as PM the country feels rudderless, and this Government is simply not going to tackle the real problems I discussed on the doorstep during the seven week campaign.",Labour,Facebook,7,2017,07/2017,2017/07,J) Labour,#N/A,No cladding
Andy Slaughter,2017-07-29,https://twitter.com/hammersmithandy/status/891272931157913601,Grenfell and Brexit will dominate this Parliament but we don't have a Govt strong enough to handle them. My eNews http://www.andyslaughter.co.uk/grenfell_brexit_and_reflections_on_elections,Labour,Twitter,7,2017,07/2017,2017/07,J) Labour,#N/A,No cladding
Andy Slaughter,2017-07-28,https://twitter.com/hammersmithandy/status/890937345100435457,"From the farce of Brexit to the tragedy of Grenfell, this has been a confusing and complex summer. My thoughts here: http://bit.ly/2u5ajpo",Labour,Twitter,7,2017,07/2017,2017/07,J) Labour,#N/A,No cladding
Andy Slaughter,2017-07-18,https://twitter.com/hammersmithandy/status/887306907035336705,Grenfell victims still haven't been given suitable longterm accommodation - I raised my concerns about this with @sajidjavid yesterday. https://t.co/J5S6zE0pDm,Labour,Twitter,7,2017,07/2017,2017/07,J) Labour,#N/A,No cladding
Andy Slaughter,2017-07-13,https://twitter.com/hammersmithandy/status/885511068184915968,"Read my speech from the debate on Grenfell Tower Inquiry https://goo.gl/CDhKDW - I raised my concerns about housing, fire safety & RBKC.",Labour,Twitter,7,2017,07/2017,2017/07,J) Labour,#N/A,No cladding
Andy Slaughter,2017-07-12,https://twitter.com/hammersmithandy/status/885117203724554240,This is the fifth minister to lead on #Grenfell. Leader of @RBKC never been in a tower block flat. No leadership. No confidence.,Labour,Twitter,7,2017,07/2017,2017/07,J) Labour,#N/A,No cladding
Andy Slaughter,2017-07-12,https://twitter.com/hammersmithandy/status/885116198907764736,Extraordinary statements from Govt in #Grenfell debate. Taskforce is only advisory and will report to them not @RBKC . Who's in charge?,Labour,Twitter,7,2017,07/2017,2017/07,J) Labour,#N/A,No cladding
Andy Slaughter,2017-07-07,https://twitter.com/hammersmithandy/status/883288960881111040,Not the first time Tories have tried to move Carnival but shameful to use Grenfell tragedy as excuse. http://www.ibtimes.co.uk/renewed-calls-notting-hill-carnival-be-relocated-tory-mp-says-it-risks-becoming-crime-fest-1578806,Labour,Twitter,7,2017,07/2017,2017/07,J) Labour,#N/A,No cladding
Andy Slaughter,2017-07-06,https://twitter.com/hammersmithandy/status/882992553464799232,Grenfell benefit gig at Bush Hall on Friday 7th July. All funds to Edward Woods Community Centre & The Harrow Club https://dice.fm/event/grenfell-tower-benefit-peace-7th-jul-bush-hall-london-tickets,Labour,Twitter,7,2017,07/2017,2017/07,J) Labour,#N/A,No cladding
Andy Slaughter,2017-07-06,https://twitter.com/hammersmithandy/status/882952923872886785,"Following Grenfell Tower fire I have made several interventions about the provision of social housing, product safety & the public inquiry. https://t.co/008XccUh1S",Labour,Twitter,7,2017,07/2017,2017/07,J) Labour,#N/A,No cladding
Andy Slaughter,2017-09-01,https://twitter.com/hammersmithandy/status/903633135300169728,Join me tomorrow and help raise funds for those affected by the Grenfell fire. https://twitter.com/QPRFC/status/902926544703774721,Labour,Twitter,9,2017,09/2017,2017/09,J) Labour,#N/A,No cladding
Andy Slaughter,2017-11-30,https://twitter.com/hammersmithandy/status/936350693547495424,Grenfell and Shepherds Bush fires started in Whirlpool products https://www.theguardian.com/uk-news/2017/nov/30/whirlpool-hotpoint-coroner-inquest-tumble-dryer-fire-wales Will they and @beisgovuk act on latest coroner's report https://www.judiciary.gov.uk/wp-content/uploads/2017/11/Bernard-Hender-2017-0311_Redacted.pdf?,Labour,Twitter,11,2017,11/2017,2017/11,J) Labour,#N/A,No cladding
